policy_id,policy_group_id,start_date,end_date,line_of_business,coverage_term_months,underwriting_year,currency,ifrs_model_type,status
POL79512867,GRP87290,2021-03-10,2022-04-04,Health,13,2021,GBP,PAA,Expired
POL87869300,GRP12934,2021-01-04,2022-09-26,Motor,21,2021,GBP,GMM,Active
POL76780765,GRP62387,2024-12-09,2027-10-25,Motor,35,2024,EUR,GMM,Active
POL44878201,GRP38774,2023-12-05,2024-08-01,Health,8,2023,GBP,GMM,Active
POL52966385,GRP90098,2019-10-13,2020-11-06,Property,13,2019,GBP,PAA,Expired
POL99800997,GRP74516,2021-08-25,2023-06-16,Property,22,2021,USD,GMM,Expired
POL64058256,GRP39431,2019-09-07,2022-04-24,Property,32,2019,GBP,GMM,Cancelled
POL20285296,GRP09660,2018-10-06,2019-05-04,Property,7,2018,USD,PAA,Active
POL77370846,GRP80443,2020-05-14,2022-09-01,Life,28,2020,GBP,PAA,Cancelled
POL09298731,GRP98201,2024-02-25,2024-09-22,Life,7,2024,EUR,PAA,Active
POL85685895,GRP62273,2023-09-19,2025-06-10,Motor,21,2023,EUR,PAA,Cancelled
POL20481474,GRP27991,2019-08-18,2022-07-03,Life,35,2019,EUR,GMM,Cancelled
POL55136025,GRP28660,2024-08-09,2026-10-28,Property,27,2024,EUR,GMM,Expired
POL31010126,GRP78592,2023-06-29,2024-05-24,Life,11,2023,EUR,GMM,Active
POL35777415,GRP25102,2020-02-17,2022-04-07,Motor,26,2020,GBP,GMM,Active
POL95142495,GRP19018,2025-07-06,2028-03-22,Health,33,2025,USD,GMM,Cancelled
POL31710989,GRP95061,2022-10-14,2024-07-05,Health,21,2022,EUR,PAA,Active
POL66025848,GRP99129,2024-10-11,2025-12-05,Property,14,2024,GBP,PAA,Cancelled
POL44843977,GRP33484,2021-08-14,2022-12-07,Health,16,2021,GBP,PAA,Cancelled
POL92158680,GRP11174,2023-07-28,2025-03-19,Motor,20,2023,GBP,PAA,Cancelled
POL20540296,GRP23564,2020-03-12,2021-12-02,Property,21,2020,USD,GMM,Active
POL35883941,GRP98338,2021-03-23,2022-04-17,Health,13,2021,USD,GMM,Expired
POL44629997,GRP65956,2019-07-15,2022-03-31,Property,33,2019,USD,GMM,Cancelled
POL73489406,GRP79599,2024-07-11,2026-07-01,Health,24,2024,GBP,GMM,Expired
POL96012384,GRP48642,2024-07-16,2025-10-09,Property,15,2024,GBP,GMM,Cancelled
POL27385563,GRP99950,2023-09-18,2026-08-03,Health,35,2023,EUR,GMM,Cancelled
POL26968791,GRP34546,2022-03-29,2023-08-21,Health,17,2022,EUR,GMM,Cancelled
POL97695874,GRP87457,2022-06-09,2024-11-25,Life,30,2022,USD,PAA,Cancelled
POL36183409,GRP78782,2021-11-25,2024-09-10,Health,34,2021,GBP,GMM,Active
POL67693924,GRP97185,2022-07-19,2025-02-03,Health,31,2022,EUR,PAA,Expired
POL86669543,GRP37822,2024-08-10,2027-03-28,Property,32,2024,EUR,GMM,Active
POL49744168,GRP66374,2020-08-26,2022-08-16,Motor,24,2020,EUR,GMM,Expired
POL34217179,GRP57604,2023-03-25,2023-09-21,Motor,6,2023,EUR,GMM,Active
POL98168026,GRP72582,2019-09-24,2020-10-18,Life,13,2019,USD,PAA,Cancelled
POL15967830,GRP40640,2020-02-20,2020-09-17,Life,7,2020,GBP,PAA,Expired
POL49828231,GRP66335,2020-01-15,2021-09-06,Property,20,2020,USD,GMM,Cancelled
POL20197390,GRP34090,2019-07-17,2022-05-02,Health,34,2019,EUR,GMM,Cancelled
POL52622083,GRP92312,2018-12-29,2020-03-23,Health,15,2018,GBP,GMM,Active
POL91344568,GRP14994,2025-11-15,2028-07-02,Property,32,2025,GBP,GMM,Expired
POL90960629,GRP83445,2020-12-07,2022-08-29,Property,21,2020,USD,GMM,Cancelled
POL92725615,GRP67952,2020-09-16,2021-06-13,Health,9,2020,USD,PAA,Cancelled
POL67429415,GRP27238,2024-06-25,2025-03-22,Motor,9,2024,GBP,PAA,Active
POL43805493,GRP53838,2023-08-19,2025-07-09,Health,23,2023,GBP,PAA,Cancelled
POL39251901,GRP59739,2021-12-02,2023-06-25,Health,19,2021,USD,GMM,Expired
POL81614650,GRP45619,2025-05-11,2026-09-03,Health,16,2025,USD,PAA,Cancelled
POL64877974,GRP19837,2022-09-06,2023-04-04,Motor,7,2022,EUR,PAA,Expired
POL52594467,GRP03473,2023-09-20,2026-02-06,Health,29,2023,GBP,GMM,Active
POL36100783,GRP61930,2018-02-17,2019-11-09,Life,21,2018,EUR,PAA,Cancelled
POL00936330,GRP10764,2020-04-30,2021-06-24,Life,14,2020,USD,GMM,Active
POL78139784,GRP50142,2023-12-18,2025-10-08,Motor,22,2023,GBP,PAA,Active
POL18002245,GRP17862,2023-08-11,2025-11-28,Property,28,2023,USD,GMM,Expired
POL82846948,GRP22398,2024-04-01,2026-03-22,Property,24,2024,GBP,GMM,Active
POL31632117,GRP39689,2019-04-09,2020-02-03,Life,10,2019,GBP,PAA,Cancelled
POL19685325,GRP18834,2023-08-15,2024-09-08,Life,13,2023,GBP,GMM,Active
POL10572332,GRP69953,2022-03-03,2024-05-21,Property,27,2022,USD,PAA,Expired
POL39507845,GRP25797,2018-08-12,2019-12-05,Property,16,2018,USD,PAA,Cancelled
POL31669988,GRP62555,2021-04-24,2022-06-18,Health,14,2021,EUR,PAA,Active
POL85111080,GRP30124,2023-02-27,2025-11-13,Property,33,2023,GBP,GMM,Active
POL06591589,GRP76357,2021-08-09,2024-04-25,Motor,33,2021,GBP,PAA,Expired
POL33556671,GRP82293,2022-11-28,2023-07-26,Life,8,2022,GBP,PAA,Active
POL96159740,GRP01133,2024-04-29,2025-10-21,Property,18,2024,GBP,PAA,Expired
POL74130345,GRP37402,2023-07-31,2024-09-23,Life,14,2023,USD,GMM,Expired
POL81936805,GRP62904,2018-01-30,2020-06-18,Life,29,2018,EUR,PAA,Cancelled
POL59218376,GRP31334,2020-09-23,2023-01-11,Motor,28,2020,GBP,PAA,Active
POL83062974,GRP10673,2020-02-18,2023-01-03,Health,35,2020,GBP,GMM,Active
POL15795214,GRP68941,2024-04-03,2025-12-24,Property,21,2024,USD,PAA,Active
POL61153238,GRP77976,2023-04-15,2024-09-06,Health,17,2023,EUR,PAA,Cancelled
POL55594588,GRP94138,2023-04-25,2025-09-11,Property,29,2023,USD,GMM,Active
POL59618514,GRP47120,2025-01-29,2027-02-18,Property,25,2025,USD,GMM,Active
POL42637368,GRP05927,2022-11-09,2024-11-28,Life,25,2022,USD,PAA,Expired
POL03375684,GRP43613,2025-12-07,2027-09-28,Life,22,2025,GBP,GMM,Cancelled
POL62220866,GRP57294,2019-08-07,2022-05-23,Life,34,2019,EUR,GMM,Cancelled
POL64716173,GRP08557,2021-06-05,2022-05-01,Property,11,2021,GBP,GMM,Cancelled
POL68312685,GRP32078,2023-12-05,2025-11-24,Life,24,2023,USD,GMM,Cancelled
POL71406538,GRP20803,2022-10-24,2023-11-18,Life,13,2022,EUR,GMM,Cancelled
POL02688034,GRP01456,2021-05-31,2022-10-23,Motor,17,2021,USD,GMM,Active
POL26685049,GRP40583,2021-03-27,2022-07-20,Life,16,2021,EUR,PAA,Expired
POL11214872,GRP84448,2019-03-21,2019-09-17,Health,6,2019,USD,GMM,Active
POL13691123,GRP32591,2023-06-07,2026-03-23,Health,34,2023,USD,PAA,Active
POL00544268,GRP77879,2025-07-23,2026-09-16,Health,14,2025,USD,GMM,Active
POL40214894,GRP13276,2025-06-28,2027-08-17,Health,26,2025,USD,PAA,Expired
POL03540145,GRP38361,2018-01-05,2019-07-29,Life,19,2018,GBP,PAA,Active
POL45901906,GRP24368,2023-01-29,2023-10-26,Motor,9,2023,EUR,GMM,Expired
POL61967308,GRP27213,2022-03-15,2024-11-29,Property,33,2022,GBP,PAA,Active
POL73936625,GRP11365,2024-09-04,2026-01-27,Property,17,2024,USD,PAA,Expired
POL66442459,GRP28913,2023-10-20,2025-05-12,Motor,19,2023,EUR,GMM,Cancelled
POL90130673,GRP00833,2022-05-16,2024-02-05,Health,21,2022,USD,PAA,Cancelled
POL47332812,GRP49530,2018-07-08,2019-12-30,Life,18,2018,USD,PAA,Active
POL18009778,GRP51217,2021-12-14,2023-04-08,Health,16,2021,USD,GMM,Expired
POL83862160,GRP63686,2023-12-30,2024-12-24,Health,12,2023,GBP,PAA,Active
POL23825001,GRP64186,2022-08-14,2023-09-08,Life,13,2022,USD,GMM,Cancelled
POL87650275,GRP45352,2018-03-22,2020-04-10,Life,25,2018,USD,PAA,Cancelled
POL52775044,GRP46849,2018-12-02,2021-09-17,Life,34,2018,USD,PAA,Active
POL01676008,GRP09644,2019-11-26,2021-05-19,Property,18,2019,EUR,PAA,Expired
POL35011858,GRP81898,2019-03-25,2022-02-07,Health,35,2019,GBP,GMM,Cancelled
POL57846125,GRP29017,2021-03-06,2022-11-26,Health,21,2021,GBP,PAA,Cancelled
POL27456076,GRP35375,2019-03-25,2020-09-15,Health,18,2019,GBP,PAA,Cancelled
POL86994058,GRP12628,2020-07-13,2022-12-30,Motor,30,2020,EUR,GMM,Expired
POL15069489,GRP00598,2018-03-09,2019-05-03,Property,14,2018,USD,PAA,Expired
POL84261142,GRP19347,2020-01-23,2021-11-13,Life,22,2020,USD,GMM,Active
POL15676414,GRP87416,2018-11-26,2021-07-13,Life,32,2018,EUR,PAA,Active
POL12451587,GRP62798,2023-01-31,2024-02-25,Health,13,2023,GBP,PAA,Cancelled
POL51449175,GRP41345,2022-02-03,2024-03-24,Life,26,2022,GBP,PAA,Active
POL70912146,GRP40159,2022-12-31,2025-05-19,Motor,29,2022,GBP,PAA,Expired
POL56878712,GRP10225,2020-06-07,2021-09-30,Life,16,2020,EUR,PAA,Active
POL95789424,GRP84915,2022-03-25,2024-06-12,Property,27,2022,EUR,GMM,Cancelled
POL03883817,GRP52969,2025-01-19,2026-05-14,Motor,16,2025,GBP,GMM,Active
POL14817314,GRP93487,2025-08-16,2027-08-06,Life,24,2025,EUR,PAA,Cancelled
POL56635038,GRP14183,2018-04-26,2018-11-22,Life,7,2018,EUR,PAA,Expired
POL05852197,GRP05462,2020-10-08,2021-05-06,Motor,7,2020,USD,PAA,Expired
POL68344621,GRP56966,2021-04-12,2022-01-07,Life,9,2021,USD,PAA,Expired
POL62049153,GRP32018,2024-09-11,2026-09-01,Health,24,2024,USD,PAA,Active
POL41007282,GRP30444,2024-04-11,2025-06-05,Life,14,2024,USD,GMM,Active
POL21282340,GRP29897,2025-01-26,2027-06-15,Health,29,2025,GBP,PAA,Cancelled
POL64431068,GRP73774,2021-12-25,2024-07-12,Life,31,2021,EUR,PAA,Active
POL42693654,GRP03584,2024-10-19,2026-11-08,Motor,25,2024,GBP,PAA,Active
POL57219636,GRP66500,2018-07-19,2019-07-14,Health,12,2018,EUR,GMM,Expired
POL74300301,GRP28655,2022-01-25,2022-08-23,Property,7,2022,GBP,PAA,Active
POL70891696,GRP33902,2021-02-27,2023-07-17,Property,29,2021,GBP,PAA,Expired
POL86682330,GRP91669,2018-08-15,2020-07-05,Property,23,2018,EUR,PAA,Cancelled
POL51245744,GRP94071,2020-04-11,2022-10-28,Motor,31,2020,USD,GMM,Active
POL37068095,GRP61769,2022-04-20,2023-07-14,Motor,15,2022,GBP,GMM,Active
POL84911702,GRP51464,2019-01-07,2019-11-03,Life,10,2019,GBP,PAA,Cancelled
POL02778921,GRP21910,2019-12-08,2022-08-24,Life,33,2019,GBP,PAA,Active
POL30372021,GRP27417,2023-12-13,2025-11-02,Motor,23,2023,EUR,PAA,Expired
POL45233913,GRP70690,2018-08-17,2021-03-04,Health,31,2018,USD,GMM,Cancelled
POL35029784,GRP93744,2019-06-06,2019-12-03,Life,6,2019,USD,PAA,Cancelled
POL97963633,GRP03576,2023-10-02,2024-08-27,Motor,11,2023,GBP,GMM,Cancelled
POL97858679,GRP48460,2018-10-06,2020-04-28,Property,19,2018,GBP,GMM,Expired
POL44891150,GRP64618,2024-11-17,2027-05-06,Life,30,2024,USD,GMM,Expired
POL91160433,GRP26177,2020-01-01,2021-03-26,Property,15,2020,EUR,GMM,Active
POL23282016,GRP33636,2023-06-02,2025-09-19,Property,28,2023,EUR,GMM,Active
POL43530652,GRP22010,2023-08-25,2026-05-11,Property,33,2023,EUR,PAA,Cancelled
POL03083328,GRP86165,2018-09-24,2019-09-19,Property,12,2018,USD,GMM,Cancelled
POL00404755,GRP74690,2020-11-05,2022-09-26,Life,23,2020,EUR,GMM,Cancelled
POL37503561,GRP40918,2018-06-17,2019-07-12,Life,13,2018,EUR,PAA,Cancelled
POL15436600,GRP26699,2019-10-31,2020-09-25,Life,11,2019,EUR,PAA,Expired
POL46469401,GRP51042,2024-09-29,2027-06-16,Property,33,2024,GBP,PAA,Expired
POL41295549,GRP60465,2020-04-18,2023-04-03,Property,36,2020,USD,PAA,Active
POL88527154,GRP53645,2021-06-03,2022-07-28,Property,14,2021,EUR,PAA,Cancelled
POL74143302,GRP88209,2021-08-25,2024-08-09,Property,36,2021,GBP,PAA,Active
POL38144477,GRP70410,2019-07-28,2021-06-17,Property,23,2019,USD,GMM,Expired
POL20326977,GRP31727,2018-03-11,2020-12-25,Health,34,2018,USD,PAA,Active
POL27741546,GRP54135,2024-03-19,2025-06-12,Property,15,2024,GBP,PAA,Active
POL80630802,GRP38803,2022-08-12,2024-03-04,Motor,19,2022,GBP,PAA,Active
POL84480523,GRP65648,2020-03-23,2022-03-13,Life,24,2020,GBP,PAA,Cancelled
POL21366136,GRP95484,2018-09-17,2021-05-04,Life,32,2018,GBP,GMM,Active
POL67911123,GRP33740,2023-11-15,2026-05-03,Property,30,2023,USD,PAA,Active
POL87309854,GRP88304,2020-11-03,2023-04-22,Property,30,2020,USD,GMM,Expired
POL82896357,GRP70525,2024-11-07,2027-06-25,Motor,32,2024,USD,GMM,Expired
POL80487393,GRP35713,2025-06-16,2027-12-03,Health,30,2025,EUR,PAA,Expired
POL98288234,GRP48115,2020-03-24,2021-08-16,Property,17,2020,USD,GMM,Cancelled
POL55540668,GRP87947,2019-07-13,2022-06-27,Life,36,2019,EUR,GMM,Active
POL63756716,GRP81217,2022-07-23,2023-08-17,Life,13,2022,USD,GMM,Cancelled
POL62963879,GRP73123,2025-03-23,2026-02-16,Motor,11,2025,GBP,PAA,Cancelled
POL54387309,GRP10307,2025-06-15,2028-05-30,Property,36,2025,USD,PAA,Expired
POL35861044,GRP05938,2018-08-22,2019-06-18,Motor,10,2018,EUR,GMM,Active
POL14156432,GRP47093,2020-10-03,2023-01-21,Motor,28,2020,GBP,GMM,Active
POL70882943,GRP84120,2018-02-14,2020-06-03,Motor,28,2018,USD,GMM,Cancelled
POL43752943,GRP99762,2025-09-16,2028-04-03,Motor,31,2025,EUR,GMM,Cancelled
POL86415667,GRP84803,2020-02-20,2021-09-12,Health,19,2020,GBP,PAA,Active
POL13111243,GRP25092,2019-02-17,2020-04-12,Health,14,2019,USD,GMM,Expired
POL74456210,GRP08673,2021-01-08,2021-10-05,Life,9,2021,EUR,PAA,Expired
POL92741881,GRP02947,2021-01-28,2021-11-24,Property,10,2021,EUR,GMM,Active
POL32257213,GRP02738,2024-06-11,2026-09-29,Health,28,2024,GBP,GMM,Cancelled
POL07533663,GRP89872,2023-08-14,2025-11-01,Life,27,2023,EUR,GMM,Active
POL99096718,GRP47888,2018-03-12,2020-03-31,Motor,25,2018,EUR,GMM,Cancelled
POL01082789,GRP56919,2018-04-08,2019-03-04,Motor,11,2018,GBP,GMM,Cancelled
POL76796582,GRP84265,2024-07-21,2027-07-06,Property,36,2024,GBP,GMM,Cancelled
POL93983610,GRP14011,2024-10-21,2025-08-17,Motor,10,2024,EUR,PAA,Cancelled
POL65403061,GRP67535,2023-06-27,2024-11-18,Life,17,2023,EUR,PAA,Cancelled
POL27471009,GRP52253,2021-12-08,2024-11-22,Motor,36,2021,USD,PAA,Cancelled
POL77478791,GRP29170,2023-10-28,2024-08-23,Motor,10,2023,EUR,GMM,Expired
POL87017749,GRP09501,2020-10-14,2021-10-09,Motor,12,2020,USD,GMM,Active
POL59801805,GRP15828,2024-05-04,2025-05-29,Health,13,2024,USD,GMM,Cancelled
POL47678573,GRP32168,2019-06-23,2021-09-10,Life,27,2019,GBP,GMM,Expired
POL23261444,GRP44683,2018-04-19,2020-09-05,Motor,29,2018,EUR,PAA,Expired
POL73957002,GRP27083,2020-03-24,2022-07-12,Motor,28,2020,USD,GMM,Cancelled
POL94834913,GRP26520,2019-12-07,2021-04-30,Life,17,2019,EUR,PAA,Expired
POL87557050,GRP69252,2019-10-24,2022-02-10,Life,28,2019,USD,PAA,Cancelled
POL65502368,GRP84576,2020-10-13,2023-06-30,Property,33,2020,USD,GMM,Active
POL21965998,GRP00789,2020-05-12,2021-05-07,Health,12,2020,USD,GMM,Cancelled
POL95523000,GRP06481,2021-09-19,2022-04-17,Property,7,2021,EUR,GMM,Active
POL39610787,GRP16704,2024-10-11,2025-05-09,Motor,7,2024,GBP,GMM,Active
POL17022570,GRP34543,2018-02-12,2019-07-07,Motor,17,2018,EUR,GMM,Cancelled
POL60092022,GRP42127,2025-03-14,2027-08-31,Property,30,2025,EUR,GMM,Expired
POL22532092,GRP72672,2023-09-01,2025-07-22,Health,23,2023,GBP,GMM,Cancelled
POL01504510,GRP77765,2018-06-12,2019-03-09,Health,9,2018,EUR,PAA,Active
POL74085357,GRP10284,2018-11-25,2020-09-15,Health,22,2018,GBP,PAA,Expired
POL84165200,GRP88794,2022-10-05,2024-08-25,Life,23,2022,GBP,GMM,Expired
POL84104979,GRP61248,2021-02-15,2023-06-05,Motor,28,2021,USD,GMM,Active
POL25426358,GRP72073,2018-04-07,2021-01-21,Health,34,2018,GBP,GMM,Expired
POL92151094,GRP61772,2024-06-10,2026-11-27,Property,30,2024,EUR,PAA,Expired
POL51795720,GRP22165,2019-04-22,2021-12-07,Life,32,2019,USD,PAA,Expired
POL16655587,GRP65629,2018-05-12,2021-01-26,Health,33,2018,USD,GMM,Expired
POL02360953,GRP53838,2025-09-28,2026-06-25,Health,9,2025,GBP,PAA,Cancelled
POL78461713,GRP16549,2018-07-02,2021-06-16,Health,36,2018,USD,GMM,Expired
POL53342060,GRP79076,2022-05-24,2025-05-08,Motor,36,2022,USD,PAA,Expired
POL90992477,GRP40374,2023-11-19,2024-11-13,Motor,12,2023,EUR,PAA,Expired
POL24749684,GRP43003,2021-01-02,2021-12-28,Life,12,2021,GBP,GMM,Expired
POL57005987,GRP43132,2021-12-07,2024-07-24,Health,32,2021,USD,PAA,Cancelled
POL66742170,GRP94788,2022-03-08,2022-12-03,Property,9,2022,USD,GMM,Expired
POL90460262,GRP44949,2022-12-17,2023-08-14,Property,8,2022,EUR,PAA,Active
POL19325301,GRP17290,2023-12-25,2026-08-11,Life,32,2023,EUR,GMM,Expired
POL94677996,GRP50933,2023-05-02,2023-10-29,Health,6,2023,GBP,GMM,Active
POL92441421,GRP78508,2020-07-01,2022-04-22,Health,22,2020,GBP,GMM,Expired
POL30752885,GRP05016,2025-12-05,2028-11-19,Motor,36,2025,GBP,PAA,Cancelled
POL02928094,GRP74958,2020-09-11,2023-08-27,Life,36,2020,EUR,GMM,Expired
POL32399756,GRP29504,2018-05-14,2020-08-31,Property,28,2018,EUR,PAA,Active
POL34736034,GRP59715,2024-10-02,2027-03-21,Motor,30,2024,EUR,PAA,Expired
POL11063872,GRP12720,2021-03-17,2021-12-12,Property,9,2021,GBP,PAA,Active
POL21367458,GRP59272,2024-12-17,2027-02-05,Property,26,2024,USD,GMM,Cancelled
POL72015832,GRP39823,2024-09-12,2027-03-31,Property,31,2024,GBP,PAA,Cancelled
POL42994169,GRP54780,2021-02-01,2023-08-20,Property,31,2021,USD,GMM,Active
POL21806475,GRP81592,2018-02-01,2018-09-29,Property,8,2018,USD,PAA,Cancelled
POL24413558,GRP01904,2020-11-28,2022-03-23,Motor,16,2020,GBP,GMM,Cancelled
POL50608631,GRP46205,2024-03-11,2026-10-27,Property,32,2024,USD,PAA,Active
POL95609685,GRP45855,2020-10-05,2022-08-26,Motor,23,2020,USD,GMM,Cancelled
POL58207949,GRP47118,2018-08-16,2020-08-05,Property,24,2018,USD,GMM,Expired
POL28243401,GRP83204,2021-05-30,2023-02-19,Life,21,2021,EUR,PAA,Cancelled
POL37806336,GRP16280,2021-02-06,2023-09-24,Life,32,2021,GBP,GMM,Expired
POL84892315,GRP55952,2025-03-28,2027-07-16,Life,28,2025,EUR,PAA,Active
POL00068349,GRP32757,2018-02-07,2019-01-03,Property,11,2018,GBP,PAA,Cancelled
POL52309832,GRP49952,2021-08-08,2024-01-25,Property,30,2021,EUR,PAA,Active
POL13290704,GRP17757,2022-10-26,2024-09-15,Motor,23,2022,GBP,GMM,Cancelled
POL34216453,GRP42942,2020-03-22,2022-11-07,Property,32,2020,GBP,GMM,Expired
POL68182631,GRP65398,2025-10-05,2027-04-28,Motor,19,2025,USD,PAA,Expired
POL75114992,GRP19559,2019-01-06,2021-06-24,Health,30,2019,USD,PAA,Cancelled
POL72625701,GRP56837,2021-05-03,2023-07-22,Health,27,2021,EUR,GMM,Expired
POL22191270,GRP21000,2024-04-14,2026-11-30,Health,32,2024,EUR,GMM,Expired
POL50617975,GRP24574,2019-06-26,2021-07-15,Life,25,2019,GBP,PAA,Expired
POL97590972,GRP52137,2024-09-10,2026-09-30,Life,25,2024,USD,PAA,Cancelled
POL17402890,GRP95772,2019-10-15,2022-01-02,Motor,27,2019,EUR,GMM,Expired
POL66399651,GRP44319,2025-09-10,2026-07-07,Health,10,2025,GBP,GMM,Expired
POL44096353,GRP77836,2022-11-11,2023-05-10,Property,6,2022,EUR,GMM,Expired
POL75189225,GRP30360,2025-12-21,2028-09-06,Property,33,2025,USD,GMM,Cancelled
POL69642029,GRP05352,2024-09-21,2026-08-12,Life,23,2024,USD,PAA,Cancelled
POL62328891,GRP65165,2018-12-18,2020-01-12,Life,13,2018,EUR,GMM,Cancelled
POL46444489,GRP81529,2019-04-19,2021-06-07,Life,26,2019,GBP,GMM,Cancelled
POL40202849,GRP12895,2025-08-16,2027-10-05,Motor,26,2025,USD,PAA,Expired
POL18699118,GRP05981,2024-03-18,2026-03-08,Health,24,2024,USD,PAA,Cancelled
POL42054075,GRP61654,2023-07-17,2024-08-10,Life,13,2023,EUR,PAA,Cancelled
POL18115636,GRP19631,2024-07-03,2025-04-29,Motor,10,2024,GBP,GMM,Active
POL19306856,GRP90661,2021-10-30,2024-07-16,Motor,33,2021,GBP,PAA,Active
POL85214203,GRP27358,2022-03-12,2022-11-07,Life,8,2022,EUR,PAA,Active
POL35517195,GRP92921,2024-06-18,2027-01-04,Motor,31,2024,GBP,PAA,Expired
POL79134933,GRP46678,2024-03-16,2024-09-12,Motor,6,2024,EUR,GMM,Cancelled
POL13476476,GRP19026,2024-07-24,2026-01-15,Life,18,2024,GBP,GMM,Cancelled
POL21649548,GRP16547,2020-08-15,2022-07-06,Health,23,2020,EUR,GMM,Active
POL73377561,GRP75834,2022-12-24,2025-08-10,Property,32,2022,GBP,PAA,Cancelled
POL65056969,GRP01095,2018-03-01,2019-10-22,Life,20,2018,GBP,GMM,Cancelled
POL61928712,GRP53543,2022-03-25,2023-10-16,Motor,19,2022,USD,GMM,Expired
POL14626248,GRP00003,2022-07-29,2023-04-25,Health,9,2022,USD,GMM,Expired
POL60417110,GRP60563,2023-07-23,2026-05-08,Motor,34,2023,EUR,PAA,Active
POL92421180,GRP74011,2022-04-11,2023-05-06,Property,13,2022,USD,PAA,Expired
POL77507357,GRP82250,2019-01-30,2020-01-25,Motor,12,2019,EUR,GMM,Active
POL67105561,GRP68136,2025-05-19,2026-07-13,Health,14,2025,EUR,PAA,Expired
POL61011797,GRP08024,2019-08-04,2020-01-31,Health,6,2019,USD,GMM,Expired
POL45002985,GRP72033,2021-07-28,2023-04-19,Life,21,2021,EUR,GMM,Expired
POL13113788,GRP77078,2023-07-04,2025-05-24,Property,23,2023,EUR,GMM,Expired
POL80999672,GRP08674,2024-06-13,2026-07-03,Property,25,2024,USD,GMM,Expired
POL43324939,GRP39589,2024-12-14,2027-06-02,Health,30,2024,USD,PAA,Active
POL26640066,GRP79453,2021-11-04,2022-07-02,Life,8,2021,EUR,GMM,Expired
POL08288294,GRP57841,2020-05-08,2022-01-28,Motor,21,2020,USD,GMM,Active
POL53053442,GRP94826,2024-11-13,2027-07-31,Motor,33,2024,USD,GMM,Expired
POL45790440,GRP24486,2024-07-17,2025-03-14,Health,8,2024,GBP,GMM,Active
POL50117694,GRP83551,2023-07-11,2026-01-26,Health,31,2023,EUR,GMM,Expired
POL92074562,GRP04039,2023-06-02,2024-07-26,Life,14,2023,EUR,GMM,Expired
POL82295431,GRP35597,2020-04-12,2022-04-02,Motor,24,2020,EUR,PAA,Cancelled
POL53417019,GRP61581,2019-01-22,2021-11-07,Life,34,2019,GBP,PAA,Expired
POL63876844,GRP41713,2022-05-21,2025-02-04,Motor,33,2022,GBP,GMM,Active
POL48557079,GRP69669,2018-01-29,2018-09-26,Life,8,2018,EUR,PAA,Expired
POL24451203,GRP53458,2025-03-27,2028-03-11,Motor,36,2025,GBP,GMM,Cancelled
POL55718648,GRP66806,2021-04-21,2022-06-15,Property,14,2021,EUR,GMM,Cancelled
POL45448820,GRP39209,2024-08-02,2025-12-25,Property,17,2024,USD,PAA,Cancelled
POL21339286,GRP86738,2021-07-17,2022-03-14,Motor,8,2021,GBP,PAA,Cancelled
POL85523276,GRP80584,2022-05-30,2024-05-19,Motor,24,2022,GBP,GMM,Expired
POL29893186,GRP71954,2024-09-29,2025-08-25,Property,11,2024,USD,GMM,Cancelled
POL34238118,GRP88837,2023-04-04,2025-08-21,Motor,29,2023,USD,GMM,Expired
POL83845695,GRP26728,2020-10-04,2023-04-22,Property,31,2020,GBP,GMM,Cancelled
POL17887425,GRP31108,2019-07-20,2020-12-11,Life,17,2019,USD,GMM,Cancelled
POL12463193,GRP29423,2018-10-18,2021-06-04,Property,32,2018,USD,GMM,Expired
POL05866742,GRP85271,2025-11-08,2027-06-01,Property,19,2025,USD,GMM,Expired
POL19943163,GRP82701,2024-08-11,2025-02-07,Life,6,2024,USD,PAA,Active
POL78632941,GRP07627,2023-05-30,2025-07-18,Health,26,2023,GBP,PAA,Expired
POL76037174,GRP97001,2025-09-22,2026-03-21,Property,6,2025,GBP,GMM,Cancelled
POL11100294,GRP72637,2022-02-25,2024-02-15,Life,24,2022,GBP,PAA,Active
POL50769610,GRP82935,2019-03-27,2021-07-14,Motor,28,2019,GBP,PAA,Cancelled
POL54322898,GRP24904,2021-01-06,2022-04-01,Life,15,2021,USD,PAA,Expired
POL39910107,GRP82247,2021-09-02,2023-10-22,Health,26,2021,EUR,PAA,Cancelled
POL07819579,GRP42013,2018-12-25,2019-06-23,Health,6,2018,GBP,PAA,Expired
POL40954948,GRP63649,2018-11-30,2020-05-23,Motor,18,2018,GBP,PAA,Cancelled
POL37166375,GRP11159,2024-08-18,2026-08-08,Motor,24,2024,GBP,PAA,Active
POL57305970,GRP61200,2019-12-24,2022-11-08,Life,35,2019,EUR,GMM,Expired
POL34576308,GRP60514,2025-07-29,2026-01-25,Health,6,2025,USD,GMM,Active
POL19076208,GRP67005,2023-01-11,2024-06-04,Health,17,2023,USD,PAA,Cancelled
POL96840191,GRP88760,2022-11-05,2023-07-03,Health,8,2022,GBP,GMM,Expired
POL63638560,GRP69882,2022-03-03,2023-07-26,Health,17,2022,GBP,PAA,Active
POL81502298,GRP29224,2022-02-20,2022-09-18,Motor,7,2022,USD,GMM,Active
POL30026317,GRP92983,2020-10-09,2022-05-02,Life,19,2020,EUR,GMM,Cancelled
POL92570710,GRP20270,2024-07-12,2025-12-04,Health,17,2024,EUR,GMM,Active
